Age,Gender,Occupation,Income,WebsiteVisits,PreviousPurchases,TotalSpent,MarketingInteraction,Purchased
35,1,Office,17819659,15,0,5540667,0,1
45,1,Manager,53944271,15,1,7980990,1,1
36,0,Business,30287416,14,6,3830113,0,1
29,1,Office,18198536,15,6,7972863,0,1
34,0,Business,15317330,20,5,5715824,0,1
27,0,Student,4853103,24,3,6333284,0,1
38,1,Manager,56742911,12,8,1666905,1,1
33,1,Manager,27859470,2,1,2775055,1,1
36,1,Business,25349266,4,0,2284286,1,1
47,0,Business,25040941,18,8,1262039,0,1
39,0,Business,19356778,23,7,9353364,1,1
32,1,Student,4877284,1,2,5049880,0,0
25,0,Student,4145641,9,2,6652677,0,0
35,0,Office,13630055,18,5,791208,0,0
35,1,Manager,57513879,25,1,4172399,0,1
41,0,Office,11748368,24,0,6733095,0,0
49,0,Manager,46783903,5,0,9018881,0,0
42,1,Student,6948094,23,0,3782751,0,0
43,1,Business,38671222,14,0,8566447,0,1
42,1,Manager,44872897,10,1,3351590,0,0
26,1,Office,12864857,17,1,2599799,1,1
39,1,Student,3402679,11,5,4800054,0,1
36,1,Student,6852134,20,0,1762647,0,0
30,1,Manager,29969190,10,6,3650865,0,1
30,0,Manager,29604398,6,4,5701032,0,1
24,1,Manager,52042566,23,4,9516786,1,1
36,0,Office,18519635,12,8,3422018,1,1
44,1,Manager,30366169,4,1,4767723,0,0
49,0,Office,13113406,2,8,3785703,1,1
28,1,Office,7152498,18,7,9101837,0,1
24,1,Business,31721559,20,5,6865154,0,1
38,1,Student,7218618,14,6,3864498,1,1
42,1,Manager,45555750,9,7,8859878,1,1
45,0,Office,12478462,9,3,5448875,1,1
34,1,Business,34707881,20,2,8928698,1,1
48,0,Manager,37834495,23,4,6484559,0,1
20,1,Manager,41666339,20,6,1120858,1,1
25,1,Office,13164263,9,4,3423545,0,0
32,1,Student,3257514,23,5,278718,1,1
32,0,Office,15222372,4,4,2577701,0,1
28,1,Student,3447515,16,1,9296644,0,0
47,1,Business,18697220,17,3,8253750,1,1
40,0,Manager,32119847,24,8,7957891,1,1
43,1,Manager,51178720,11,7,6178240,1,1
48,0,Business,21226735,2,4,8003215,0,1
42,1,Manager,33245956,1,5,8521370,1,1
36,0,Student,6734282,17,6,9519637,1,1
28,0,Manager,47908577,1,6,5137360,1,1
36,0,Student,3089654,13,3,5332916,1,1
30,1,Office,10421253,14,3,2658462,0,1
36,0,Business,37176381,15,2,3622706,0,1
50,0,Office,13406029,22,2,4741255,1,1
48,1,Student,4855436,5,4,3166217,1,1
31,1,Business,34727326,3,3,2881712,1,1
39,0,Business,29373172,16,7,6204228,0,1
32,0,Student,4966921,14,4,2326383,1,1
43,1,Student,5862776,21,2,2764301,1,1
31,1,Manager,26302392,15,2,6656287,1,1
27,1,Business,38078816,20,3,8328214,1,1
31,0,Student,4064669,23,3,4301738,0,1
24,0,Office,15962439,24,6,6858805,0,1
50,0,Manager,39144345,4,7,5905626,1,1
36,1,Office,8342725,4,3,9928597,0,0
36,0,Business,28622822,13,1,8659260,0,1
47,0,Office,15966399,1,5,3370179,1,1
41,0,Business,34134938,3,4,900977,0,0
30,1,Business,22182586,25,8,290196,0,1
42,0,Manager,45014601,6,4,1446150,1,1
40,1,Office,9305199,11,7,9243055,1,1
33,0,Office,16173787,24,1,6765471,1,1
28,0,Student,3629651,9,4,2751100,0,0
35,1,Manager,32818659,4,0,7847572,0,0
32,1,Office,11055846,13,5,2125851,1,1
37,0,Manager,31606238,25,5,3170809,0,1
47,1,Student,7770369,8,7,1348879,1,0
40,0,Office,14309077,11,6,8461212,0,1
26,1,Student,6681156,1,4,7759994,1,1
41,0,Manager,53970928,25,3,7654917,1,1
40,1,Student,5644650,15,1,5424333,0,0
34,0,Student,3180402,13,3,8870502,0,1
22,1,Business,16601238,10,8,6824810,1,1
29,0,Student,5117875,14,7,1799062,1,1
50,1,Manager,51543146,15,6,1008379,1,1
28,1,Office,17731945,17,6,4405363,1,1
39,0,Manager,56759030,8,6,4699489,0,1
49,0,Office,14563593,10,4,7226308,0,0
49,1,Business,36445635,12,0,5780868,1,1
33,1,Student,5396920,14,2,9765643,0,0
37,1,Business,16385299,25,8,1618120,1,1
27,1,Business,19469767,10,6,3278862,0,1
42,0,Office,7233933,16,1,7527942,0,0
45,1,Student,7755307,12,6,5648655,0,1
24,1,Manager,41538258,6,7,4041415,1,1
47,0,Manager,41893537,7,6,4225903,1,1
37,1,Manager,27094379,10,4,881553,0,0
47,0,Manager,32713898,23,1,5064265,1,1
23,1,Manager,48484977,5,6,242561,0,0
49,0,Business,20647415,21,5,3042899,1,1
43,1,Student,6413159,3,2,5979627,1,0
47,1,Office,7078627,10,7,9243144,0,0
46,1,Office,10522410,24,5,7464871,0,1
41,0,Business,24391650,21,5,6150275,0,1
34,0,Student,7183732,21,4,5401955,0,1
29,1,Office,10588135,10,6,1235293,1,0
36,0,Manager,27930911,25,2,5800691,1,1
20,0,Business,30389117,3,7,3691167,0,1
24,0,Office,12650251,7,0,5113546,0,0
33,0,Office,14471254,17,1,240126,0,0
30,0,Office,17365352,16,5,3680134,0,1
37,1,Manager,37265399,24,4,8910321,1,1
46,0,Office,19252813,19,0,1958708,0,0
45,0,Manager,59912103,19,0,687431,0,0
50,0,Student,3371024,3,2,8508166,0,0
25,0,Business,28208329,25,3,5683536,1,1
47,0,Office,9287942,9,7,6704634,0,0
23,0,Office,15940578,11,8,1530266,0,1
40,1,Office,10067464,23,4,5456991,0,1
45,1,Student,7218496,15,4,6302824,0,1
40,1,Manager,43426150,5,8,1646915,0,0
36,0,Business,25476768,7,5,3953441,0,1
40,0,Office,17469847,5,8,9151996,1,1
48,0,Manager,40888291,21,0,5072294,0,1
39,1,Manager,54293213,22,1,2478932,1,1
26,1,Student,5587741,3,1,5338175,1,0
29,0,Office,16900872,9,7,9549858,1,1
23,1,Student,6038338,15,8,4876796,0,1
45,1,Manager,55233874,16,6,1703578,1,1
38,1,Office,12960378,14,5,9752935,0,1
46,0,Business,16231387,21,5,8319842,1,1
47,1,Manager,44584638,4,3,2309107,1,1
32,1,Student,5637655,21,0,7223313,1,1
37,0,Office,10065099,10,8,5133098,1,1
34,1,Student,5221237,22,8,9326371,0,1
45,1,Office,9892680,10,2,5528094,1,0
46,1,Office,11572579,4,5,8327670,0,0
32,1,Business,39410953,25,3,6667228,1,1
32,0,Business,36585839,22,3,7565957,0,1
39,1,Office,8624161,4,3,486833,0,0
41,1,Business,37562644,3,0,9043697,1,1
48,1,Manager,41444659,1,3,6345532,0,1
31,1,Office,8010059,7,6,4958827,0,0
44,0,Office,15327555,18,2,7189119,1,1
45,0,Student,6791972,8,8,7287779,1,1
24,1,Business,28400142,21,5,7254257,1,1
48,1,Office,14881699,15,5,3846995,0,1
44,1,Manager,59256417,25,2,5511533,0,1
32,0,Student,5429522,11,8,3807931,0,1
31,1,Business,32208761,18,4,3889526,1,1
28,1,Office,8594334,25,0,1733780,1,0
30,0,Office,7013519,5,5,7890721,1,1
25,1,Business,37511061,8,6,824532,1,1
35,1,Student,5689545,21,0,1474634,0,0
34,1,Business,32243485,2,1,6300257,1,1
23,1,Manager,47013881,1,6,6795730,0,1
34,1,Business,16733391,25,1,9449846,0,1
28,0,Student,6094518,7,0,3496173,0,0
23,0,Office,8134372,3,8,3290434,0,0
44,0,Office,11161132,20,5,1836253,1,1
20,0,Student,6383312,16,1,2148532,0,0
37,0,Office,15774900,21,0,2360309,1,1
20,1,Manager,43310786,2,2,3088450,1,1
25,1,Business,27531503,16,8,7354329,0,1
45,0,Office,9703712,24,3,6660947,1,1
46,1,Office,10643851,7,6,5349784,0,0
40,1,Student,7506403,10,3,4385104,1,1
26,1,Office,12883544,23,5,9907504,1,1
41,1,Office,14063499,3,7,6735922,0,0
30,1,Manager,58930723,4,5,821446,0,0
38,0,Student,5878604,7,0,1532780,0,0
45,0,Student,5626288,9,4,9829218,0,0
32,0,Office,10498963,12,8,5647403,0,1
38,1,Manager,37595155,21,7,521435,1,1
46,0,Manager,49496246,3,5,6346491,1,1
36,1,Student,5782380,25,5,2481474,1,1
27,1,Manager,28795166,8,5,8460623,1,1
36,1,Manager,43847469,10,0,8874756,1,1
33,0,Manager,55418982,3,2,9272449,0,0
41,0,Office,7606968,18,5,2915178,1,1
47,1,Office,18856842,24,7,7252311,0,1
36,0,Office,7021933,17,5,6281482,1,1
22,1,Business,39664772,10,8,9299761,1,1
21,1,Student,7675956,10,2,3911653,1,0
40,1,Office,8848307,14,4,2813855,1,1
20,0,Office,8879727,25,6,6032688,1,1
42,0,Business,38261090,10,3,8093778,1,1
20,1,Business,24576739,15,5,2086486,0,1
36,0,Manager,44526269,7,2,3489590,1,1
20,1,Office,15738418,13,8,8104062,1,1
41,1,Office,17541521,7,6,767024,0,0
29,0,Student,6506583,6,1,877227,1,0
23,1,Office,9833346,22,1,1009711,0,0
25,1,Business,21638091,24,7,8694209,1,1
